EPRID,ServerName,HostName,ServerType,ServerStatus,OSName,AppCIName,DeviceFunction,Site,Cell,Pod,Environment,Company,ServerOrService,Status,RIPPlanDate,RIPActualDate,RIPExcludeDate
201797,g2u1325c.dsflakdjfl.company.com,g2u1325c,Physical,active,hp-ux,,cfg shared server,Location 5,1,H,Staging,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201797,g2u1326c.dsflakdjfl.company.com,g2u1326c,Physical,active,hp-ux,,cfg shared server,Location 5,1,H,Staging,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201764,c1w08339.itcs.company.com,c1w08339,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201764,c1w09097.itcs.company.com,c1w09097,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201764,c1w09102.itcs.company.com,c1w09102,Cloud,release,windows,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201764,c2w09101.itcs.company.com,c2w09101,Cloud,release,windows,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c4w08336.itcs.company.com,c4w08336,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c4w08337.itcs.company.com,c4w08337,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c4w09098.itcs.company.com,c4w09098,Cloud,release,windows,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c4w09100.itcs.company.com,c4w09100,Cloud,release,windows,,Cloud Automation,,,,Production,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c9t06876.itcs.company.com,c9t06876,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c9t06877.itcs.company.com,c9t06877,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201695,c9w09099.itcs.company.com,c9w09099,Cloud,release,windows,,Cloud Automation,,,,Production,Instance 1,Application Server,Scheduled,5/15/2015,NULL,NULL
201764,g1u0382c.dsflakdjfl.company.com,g1u0382c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201764,g1u0383c.dsflakdjfl.company.com,g1u0383c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201764,g1u0384c.dsflakdjfl.company.com,g1u0384c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201764,g1u0385c.dsflakdjfl.company.com,g1u0385c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201764,g1u1745c.dsflakdjfl.company.com,g1u1745c,Physical,active,hp-ux,,cfg shared server,Location 2,1,F,Production,Instance 2,Batch Monitoring (Tidal),Scheduled,5/15/2015,NULL,NULL
201764,g2u0967c.dsflakdjfl.company.com,g2u0967c,Physical,active,hp-ux,,cfg shared server,Location 5,1,B,Production,Instance 2,Batch Monitoring (Tidal),Scheduled,5/15/2015,NULL,NULL
201695,g4u0409c.sdklsdla.company.com,g4u0409c,Physical,active,hp-ux,,cfg shared server,Location 1,1,G,Development,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201695,g4u0410c.sdklsdla.company.com,g4u0410c,Physical,active,hp-ux,,cfg shared server,Location 1,1,G,Development,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201695,g4u2650,g4u2650,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2650,g4u2650,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2651,g4u2651,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2651,g4u2651,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2652c,g4u2652c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2652c.sdklsdla.company.com,g4u2652c,Physical,release,hp-ux,,,Location 1,4,B,Production,Instance 1,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201695,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2653c,g4u2653c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2653c.sdklsdla.company.com,g4u2653c,Physical,release,hp-ux,,,Location 1,4,B,Production,Instance 1,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201695,g4u2689c,g4u2689c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2689c,g4u2689c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g4u2690c,g4u2690c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g4u2690c,g4u2690c,Physical,,HP-UX 11iV3,,,Location 1,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g9u1319.sdklsdla.company.com,g9u1319,Physical,release,hp-ux,,,Location 3,1,D,Development,Instance 1,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201764,g9u1319.sdklsdla.company.com,g9u1319,Physical,release,hp-ux,,,Location 3,1,D,Development,Instance 2,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201695,g9u1465c,g9u1465c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g9u1465c,g9u1465c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g9u1465c.sdklsdla.company.com,g9u1465c,Physical,release,hp-ux,,,Location 3,1,N,Production,Instance 1,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201695,g9u1466c,g9u1466c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g9u1466c,g9u1466c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g9u1466c.sdklsdla.company.com,g9u1466c,Physical,release,hp-ux,,,Location 3,1,N,Production,Instance 1,Database(Oracle),Scheduled,5/15/2015,NULL,NULL
201695,g9u1493c,g9u1493c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g9u1493c,g9u1493c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201695,g9u1494c,g9u1494c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201764,g9u1494c,g9u1494c,Physical,,HP-UX 11iV3,,,Location 3,,,Production,Instance 2,#N/A,Complete,5/15/2015,3/1/2015,NULL
201763,g1u0382c.dsflakdjfl.company.com,g1u0382c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201763,g1u0383c.dsflakdjfl.company.com,g1u0383c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201763,g1u0384c.dsflakdjfl.company.com,g1u0384c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201763,g1u0385c.dsflakdjfl.company.com,g1u0385c,Physical,active,hp-ux,,cfg shared server,Location 2,1,M,Development,Instance 2,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201694,g4u0409c.sdklsdla.company.com,g4u0409c,Physical,active,hp-ux,,cfg shared server,Location 1,1,G,Development,Instance 1,Database(Oracle) - SDBU,Scheduled,5/15/2015,NULL,NULL
201797,g4t7822g,g4t7822g,Virtual,,RHEL6(64),,,Location 1,,,Production,Instance 1,#N/A,Complete,5/15/2015,3/1/2015,NULL
201701,c1t04441.itcs.company.com,c1t04441,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04442.itcs.company.com,c1t04442,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04443.itcs.company.com,c1t04443,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04444.itcs.company.com,c1t04444,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04446.itcs.company.com,c1t04446,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04448.itcs.company.com,c1t04448,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04449.itcs.company.com,c1t04449,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04451.itcs.company.com,c1t04451,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04453.itcs.company.com,c1t04453,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04457.itcs.company.com,c1t04457,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04458.itcs.company.com,c1t04458,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
105082,g1u0941c.dsflakdjfl.company.com,g1u0941c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 3,Database(Oracle) - SDBU,Complete,3/1/2015,3/1/2015,NULL
201701,c1t04460.itcs.company.com,c1t04460,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04461.itcs.company.com,c1t04461,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04463.itcs.company.com,c1t04463,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04464.itcs.company.com,c1t04464,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04467.itcs.company.com,c1t04467,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04471.itcs.company.com,c1t04471,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t04472.itcs.company.com,c1t04472,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
105082,g1u0942c.dsflakdjfl.company.com,g1u0942c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 3,Database(Oracle) - SDBU,Complete,3/1/2015,3/1/2015,NULL
201701,c1t04474.itcs.company.com,c1t04474,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t05449.itcs.company.com,c1t05449,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c1t05450.itcs.company.com,c1t05450,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04445.itcs.company.com,c2t04445,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04447.itcs.company.com,c2t04447,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04450.itcs.company.com,c2t04450,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04452.itcs.company.com,c2t04452,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
105082,g1u0943c.dsflakdjfl.company.com,g1u0943c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 3,Database(Oracle) - SDBU,Complete,3/1/2015,3/1/2015,NULL
201701,c2t04454.itcs.company.com,c2t04454,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04455.itcs.company.com,c2t04455,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04456.itcs.company.com,c2t04456,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04459.itcs.company.com,c2t04459,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04462.itcs.company.com,c2t04462,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04465.itcs.company.com,c2t04465,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04466.itcs.company.com,c2t04466,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
105082,g1u0944c.dsflakdjfl.company.com,g1u0944c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 3,Database(Oracle) - SDBU,Complete,3/1/2015,3/1/2015,NULL
201701,c2t04468.itcs.company.com,c2t04468,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04469.itcs.company.com,c2t04469,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04470.itcs.company.com,c2t04470,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t04473.itcs.company.com,c2t04473,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Dedicated Web Hosting (Apache),Scheduled,5/15/2015,NULL,NULL
201701,c2t04475.itcs.company.com,c2t04475,Cloud,release,linux,,Cloud Automation,,,,Production,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05752.itcs.company.com,c2t05752,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05765.itcs.company.com,c2t05765,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05768.itcs.company.com,c2t05768,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05770.itcs.company.com,c2t05770,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05775.itcs.company.com,c2t05775,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05779.itcs.company.com,c2t05779,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t05780.itcs.company.com,c2t05780,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,c2t06492.itcs.company.com,c2t06492,Cloud,release,linux,,Cloud Automation,,,,Staging,Instance 2,Application Server,Scheduled,5/15/2015,NULL,NULL
201701,g1u0941c.dsflakdjfl.company.com,g1u0941c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 2,Database(Oracle) - SDBU,Complete,5/15/2015,3/1/2015,NULL
201701,g1u0942c.dsflakdjfl.company.com,g1u0942c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 2,Database(Oracle) - SDBU,Complete,5/15/2015,3/1/2015,NULL
201701,g1u0943c.dsflakdjfl.company.com,g1u0943c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 2,Database(Oracle) - SDBU,Complete,5/15/2015,3/1/2015,NULL
201701,g1u0944c.dsflakdjfl.company.com,g1u0944c,Physical,active,hp-ux,,cfg shared server,Location 2,1,B,Development,Instance 2,Database(Oracle) - SDBU,Complete,5/15/2015,3/1/2015,NULL
